shiftname,start time,end time,length,date,route,department
30-5 EVE,19:45,25:30:00,5.75,10/7/14,30,Bus
38-3 PM2,16:10,20:50,4.75,10/8/14,38,Bus
38-1 EVE,19:35,23:55,4.25,10/13/14,38,Bus
38-1 EVE,19:35,23:55,4.25,10/14/14,38,Bus
38-3 PM2,16:10,20:50,4.75,10/15/14,38,Bus
38-3 PM2,16:10,20:50,4.75,10/17/14,38,Bus
38-1 EVE,19:35,23:55,4.25,10/20/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,10/21/14,30,Bus
38-3 PM2,16:10,20:50,4.75,10/22/14,38,Bus
33-1 PM,14:46,18:20,3.5,10/25/14,33,Bus
38-1 EVE,19:35,23:55,4.25,10/27/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,10/28/14,30,Bus
38-3 PM2,16:10,20:50,4.75,10/29/14,38,Bus
38-1 EVE,19:35,23:55,4.25,11/3/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,11/4/14,30,Bus
38-3 PM2,16:10,20:50,4.75,11/5/14,38,Bus
39-1 EVE,20:20,24:40:00,4.25,11/9/14,39,Bus
38-1 EVE,19:35,23:55,4.25,11/10/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,11/12/14,30,Bus
35-1 PM,16:43,20:04,3.25,11/15/14,35,Bus
30-2 PM2,16:52,19:30,2.75,11/17/14,30,Bus
38-1 EVE,19:35,23:55,4.25,11/17/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,11/18/14,30,Bus
38-3 PM2,16:10,20:50,4.75,11/19/14,38,Bus
38-1 EVE,19:35,23:55,4.25,11/24/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,11/25/14,30,Bus
38-3 PM2,16:10,20:50,4.75,11/26/14,38,Bus
38-1 EVE,19:35,23:55,4.25,12/1/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,12/2/14,30,Bus
38-3 PM2,16:10,20:50,4.75,12/3/14,38,Bus
38-1 EVE,19:35,23:55,4.25,12/8/14,38,Bus
30-5 EVE,19:45,25:30:00,5.75,12/9/14,30,Bus
38-3 PM2,16:10,20:50,4.75,12/10/14,38,Bus
UD AM,6:15,10:15,4,9/10/14,,Operations
Service1 AM,6:59,11:01,4,9/18/14,,Service
Service1 AM,6:56,11:00,4,9/25/14,,Service
Service1 AM,6:51,11:00,4.25,10/2/14,,Service
Service1 AM,6:55,10:58,4,10/9/14,,Service
Service1 AM,6:51,11:02,4.25,10/16/14,,Service
Service1 AM,7:00:00,11:00:00,4,10/30/14,,Service
UD EVE,20:45,25:00:00,4.25,11/6/14,,Operations
Service1 AM,6:59,11:03,4,11/6/14,,Service
Service1 AM,6:53,15:10,8.25,11/20/14,,Service
Service1 MID,10:58,15:00,4,11/25/14,,Service
Service1 AM,6:56,11:00,4,12/4/14,,Service
Service1 AM,6:55,11:04,4.25,12/11/14,,Service
Driver Meeting,19:00,20:00,1,9/3/14,,Operations
35-2 PM1 Part 2,15:44,16:53,1.25,9/8/14,35,Bus
30-5 EVE Part 2,21:50,25:30:00,3.75,9/8/14,30,Bus
Service1 AM Part 2,9:27,11:01,1.5,9/9/14,,Service
35-1 EVE Part 1,20:04,22:03,2,9/9/14,35,Bus
33-2 AM Part 1, 7:21,10:15,3,9/10/14,33,Bus
33-2 AM Part 2,10:15,10:42,0.5,9/10/14,33,Bus
33-1 MID Part 1,10:46,12:42,2,9/10/14,33,Bus
30-2 MID Part 1,10:37,11:30,1,9/11/14,30,Bus
38-2 EVE Part 1,20:45,23:25,2.75,9/20/14,38,Bus
Bus Swap/Puke help,0:00,1:00,1,9/14/14,,Bus
35-1 MID Part 2,11:08,12:14,1,9/26/14,35,Bus
30-5 AM Part 2,9:45,11:00,1.25,10/2/14,30,Bus
35-3 MID Part 2,10:59,11:44,0.75,10/2/14,35,Bus
30-4 PM1 Part 1,13:37,16:07,2.5,10/2/14,30,Bus
31-4 MID Part 2,11:36,12:51,1.25,10/6/14,31,Bus
33-1 MID Part 2,11:22,12:43,1.25,10/9/14,33,Bus
31-1 AM Part 2,9:36,10:51,1.25,10/14/14,31,Bus
31-2 MID Part 1,11:06,12:21,1.25,10/14/14,31,Bus
39-2 EVE Part 3,20:50,24:05:00,3.25,10/16/14,39,Bus
38-1 EVE Part 2,20:55,26:35:00,5.75,10/17/14,38,Bus
34-3 PM1 Part 3,14:47,15:55,1.25,10/29/14,34,Bus
UD MID Part 2,11:10,13:15,2,10/31/14,,Operations
39-2 PM1 Part 2,16:15,19:55,3.75,11/7/14,39,Bus
33-1 PM1 Part 2,14:46,17:26,2.75,11/10/14,33,Bus
34-2 PM2 Part 1,16:47,17:41,1,11/12/14,34,Bus
33-1 PM1 Part 2,14:46,16:06,1.25,11/12/14,33,Bus
35-3 PM1 Part 1,13:38,15:04,1.5,11/20/14,35,Bus
SERVICE2 PM,12:57,15:54,3,12/14/14,,Service
SERVICE2 PM,14:57,18:58,4,12/15/14,,Service
33-2 MID,10:42,14:06,3.5,12/15/14,33,Bus
33-2 MID,10:42,14:06,3.5,12/16/14,33,Bus
UD AM,6:15:00,10:15:00,4,12/16/14,,Operations
31-3 AM, 6:21,11:16,5,12/17/14,31,Bus
SERVICE2 PM,14:50,18:58,4.25,12/18/14,,Service
SERVICE1 AM,6:53,10:54,4,12/19/14,,Service
SERVICE2 AM,6:56,11:00,4,12/22/14,,Service
SERVICE1 PM,14:58,19:03,4,12/22/14,,Service
SERVICE1 MID,10:58,15:00,4,12/23/14,,Service
SERVICE2 PM,15:00,19:00,4,12/23/14,,Service
SERVICE2 PM,14:17,18:47,4.5,12/24/14,,Service
33-1 MID,10:46,14:02,3.25,12/24/14,33,Bus
SERVICE1 AM,6:53,12:26,5.5,12/26/14,,Service
SERVICE2 MID,11:01,15:00,4,12/29/14,,Service
SERVICE2 PM,15:00,18:59,4,12/29/14,,Service
SERVICE1 AM,7:00,11:00,4,12/30/14,,Service
SERVICE2 PM,11:00,14:58,4,12/30/14,,Service
SERVICE2 AM,7:00,11:00,4,12/31/14,,Service
SERVICE2 PM,15:01,18:58,4,12/31/14,,Service
SERVICE2 AM,7:20,10:57,3.5,1/2/15,,Service
SERVICE2 PM,15:00,18:59,4,1/2/15,,Service
SERVICE1 AM,7:00,11:01,4,1/5/15,,Service
33-1 PM1,14:02,17:26,3.5,1/5/15,33,Bus
SERVICE1 AM,6:57,11:00,4,1/6/15,,Service
SERVICE2 MID,11:00,14:53,4,1/6/15,,Service
SERVICE2 AM,7:02,10:59,4,1/7/15,,Service
SERVICE2 PM,14:57,19:10,4.25,1/8/15,,Service
38-2 PM1,14:45,18:45,4,1/9/15,38,Bus
SERVICE1 AM,7:00,11:00,4,1/12/15,,Service
SERVICE2 AM,7:00,11:00,4,1/13/15,,Service
SERVICE2 MID,11:00,15:00,4,1/13/15,,Service
SERVICE2 AM,7:00,10:57,4,1/14/15,,Service
SERVICE2 PM,14:57,19:04,4,1/19/15,,Service
30-5 MID Part 2,11:22,12:15,1,12/1/14,30,Bus
Service Work,15:00,18:28,3.5,11/24/14,,Service
38-3 PM1 Part 2,14:45,16:10,1.5,12/8/14,38,Bus
39-1 AM Part 2,8:00,10:45,2.75,12/9/14,39,Bus
SERVICE2 AM Part 1,7:02,10:46,3.75,12/24/14,,Service
33-1 AM Part 1, 6:46,8:16,1.5,12/26/14,33,Bus
Service1 AM,6:57,9:31,2.5,1/20/15,,Service
Service1 AM,6:57,12:27,5.5,1/21/15,,Service
Service2 AM,7:01,10:58,4,1/22/15,,Service
39-2 AM, 7:40,11:45,4,1/23/15,39,Bus
35-3 PM2,16:59,20:24,3.5,1/26/15,35,Bus
Drivers Meeting,19:00,20:15,1.25,1/21/15,,Operations
Service1 AM,6:55,10:57,4,1/28/15,,Service
Service1 PM,14:38,18:56,4.25,1/28/15,,Service
39-2 AM, 7:40,11:45,4,1/30/15,39,Bus
Service2 PM,13:22,15:57,2.5,2/1/15,,Service
Service1 AM,7:29,10:59,3.5,2/4/15,,Service
Service1 PM,14:57,18:59,4,2/4/15,,Service
39-2 AM, 7:40,11:45,4,2/6/15,39,Bus
Service2 AM,6:56,16:23,9.5,2/9/15,,Service
Service1 AM,7:00,11:03,4,2/11/15,,Service
Service1 PM,15:00,19:00,4,2/11/15,,Service
35-3 PM2,16:59,20:24,3.5,2/12/15,35,Bus
39-2 AM, 7:40,11:45,4,2/13/15,39,Bus
34-2 PM2,16:47,19:57,3.25,2/17/15,34,Bus
